data,estacao,linha,n_passageiros
08/04,Afonso Pena,1,271996
08/04,Estacio,1,233782
08/04,Praca Onze,1,126892
08/04,Central,1,615244
08/04,Presidente Vargas,1,189228
08/04,Uruguaiana,1,730737
08/04,Carioca,1,915164
08/04,Cinelândia,1,558321
08/04,Gloria,1,22292
08/04,Catete,1,245266
08/04,Largo do Machado,1,498338
08/04,Flamengo,1,352484
08/04,Botafogo,1,858101
08/04,Cardeal Arcoverde,1,287019
08/04,Siqueira Campos,1,815686
08/04,Sao Cristovao,2,271331
08/04,Maracana,2,10597
08/04,Triagem,2,103733
08/04,Maria da Graca,2,177768
08/04,Del Castilho,2,19681
08/04,Inhauma,2,115112
08/04,Engenho da Rainha,2,115145
08/04,Tomas Coelho,2,54761
08/04,Vicente de Carvalho,2,256596
08/04,Iraja,2,190867
08/04,Colegio,2,127168
08/04,Coelho Neto,2,130468
08/04,Acari/Fazenda Botafogo,2,88781
08/04,Engenheiro Rubens Paiva,2,115475
08/04,Pavuna,2,687454
09/04,Saens Peña,1,879959
09/04,Sao Francisco Xavier,1,209725
09/04,Afonso Pena,1,260729
09/04,Estacio,1,225068
09/04,Praca Onze,1,124633
09/04,Central,1,609363
09/04,Presidente Vargas,1,180918
09/04,Uruguaiana,1,700434
09/04,Carioca,1,865525
09/04,Cinelândia,1,535048
09/04,Gloria,1,215729
09/04,Catete,1,234254
09/04,Largo do Machado,1,480442
09/04,Flamengo,1,341551
09/04,Botafogo,1,832689
09/04,Cardeal Arcoverde,1,290604
09/04,Siqueira Campos,1,812454
09/04,Sao Cristovao,2,26604
09/04,Maracana,2,120386
09/04,Triagem,2,99829
09/04,Maria da Graca,2,172206
09/04,Del Castilho,2,191289
09/04,Inhauma,2,1130
09/04,Engenho da Rainha,2,113287
09/04,Tomas Coelho,2,53824
09/04,Vicente de Carvalho,2,255536
09/04,Iraja,2,186356
09/04,Colegio,2,12487
09/04,Coelho Neto,2,129732
09/04,Acari/Fazenda Botafogo,2,86753
09/04,Engenheiro Rubens Paiva,2,111901
09/04,Pavuna,2,67304
10/04,Saens Peña,1,918064
10/04,Sao Francisco Xavier,1,201108
10/04,Afonso Pena,1,248981
10/04,Estacio,1,212307
10/04,Praca Onze,1,117161
10/04,Central,1,593325
10/04,Presidente Vargas,1,171963
10/04,Uruguaiana,1,694445
10/04,Carioca,1,833235
10/04,Cinelândia,1,515204
10/04,Gloria,1,210348
10/04,Catete,1,225359
10/04,Largo do Machado,1,471453
10/04,Flamengo,1,332624
10/04,Botafogo,1,815772
10/04,Cardeal Arcoverde,1,257697
10/04,Siqueira Campos,1,780495
10/04,Sao Cristovao,2,255142
10/04,Maracana,2,116408
10/04,Triagem,2,91999
10/04,Maria da Graca,2,16631
10/04,Del Castilho,2,203138
10/04,Inhauma,2,110977
10/04,Engenho da Rainha,2,109887
10/04,Tomas Coelho,2,52396
10/04,Vicente de Carvalho,2,250031
10/04,Iraja,2,183694
10/04,Colegio,2,121664
10/04,Coelho Neto,2,128101
10/04,Acari/Fazenda Botafogo,2,84559
10/04,Engenheiro Rubens Paiva,2,108901
10/04,Pavuna,2,668565
11/04,Saens Peña,1,928498
11/04,Sao Francisco Xavier,1,203705
11/04,Afonso Pena,1,250727
11/04,Estacio,1,215247
11/04,Praca Onze,1,121037
11/04,Central,1,617339
11/04,Presidente Vargas,1,173491
11/04,Uruguaiana,1,71583
11/04,Carioca,1,855062
11/04,Cinelândia,1,521688
11/04,Gloria,1,208806
11/04,Catete,1,225917
11/04,Largo do Machado,1,465469
11/04,Flamengo,1,329497
11/04,Botafogo,1,802001
11/04,Cardeal Arcoverde,1,281125
11/04,Siqueira Campos,1,810687
11/04,Sao Cristovao,2,248415
11/04,Maracana,2,114619
11/04,Triagem,2,91796
11/04,Maria da Graca,2,16612
11/04,Del Castilho,2,22007
11/04,Inhauma,2,114339
11/04,Engenho da Rainha,2,111343
11/04,Tomas Coelho,2,53465
11/04,Vicente de Carvalho,2,255794
11/04,Iraja,2,186172
11/04,Colegio,2,1234
11/04,Coelho Neto,2,135177
11/04,Acari/Fazenda Botafogo,2,86521
11/04,Engenheiro Rubens Paiva,2,111216
11/04,Pavuna,2,689688
12/04,Saens Peña,1,1014138
12/04,Sao Francisco Xavier,1,211792
12/04,Afonso Pena,1,252279
12/04,Estacio,1,226999
12/04,Praca Onze,1,124066
12/04,Central,1,648904
12/04,Presidente Vargas,1,182472
12/04,Uruguaiana,1,812685
12/04,Carioca,1,883741
12/04,Cinelândia,1,502307
12/04,Gloria,1,217466
12/04,Catete,1,230325
12/04,Largo do Machado,1,496157
12/04,Flamengo,1,336579
12/04,Botafogo,1,80751
12/04,Cardeal Arcoverde,1,28577
12/04,Siqueira Campos,1,864132
12/04,Sao Cristovao,2,221234
12/04,Maracana,2,93686
12/04,Triagem,2,89141
12/04,Maria da Graca,2,160405
12/04,Del Castilho,2,250877
12/04,Inhauma,2,115194
12/04,Engenho da Rainha,2,114542
12/04,Tomas Coelho,2,54333
12/04,Vicente de Carvalho,2,271595
12/04,Iraja,2,189092
12/04,Colegio,2,129632
12/04,Coelho Neto,2,151419
12/04,Acari/Fazenda Botafogo,2,92758
12/04,Engenheiro Rubens Paiva,2,117574
12/04,Pavuna,2,726989
01/05,Saens Peña,1,85944
01/05,Sao Francisco Xavier,1,174533
01/05,Afonso Pena,1,209652
01/05,Estacio,1,199307
01/05,Praca Onze,1,105279
01/05,Central,1,532394
01/05,Presidente Vargas,1,142398
01/05,Uruguaiana,1,64357
01/05,Carioca,1,770934
01/05,Cinelândia,1,466133
01/05,Gloria,1,190532
01/05,Catete,1,201271
01/05,Largo do Machado,1,43688
01/05,Flamengo,1,285426
01/05,Botafogo,1,696357
01/05,Cardeal Arcoverde,1,315947
01/05,Siqueira Campos,1,823398
01/05,Sao Cristovao,2,179515
01/05,Maracana,2,75633
01/05,Triagem,2,75773
01/05,Maria da Graca,2,136791
01/05,Del Castilho,2,191769
01/05,Inhauma,2,100225
01/05,Engenho da Rainha,2,9807
01/05,Tomas Coelho,2,46141
01/05,Vicente de Carvalho,2,228788
01/05,Iraja,2,161996
01/05,Colegio,2,113492
01/05,Coelho Neto,2,158897
01/05,Acari/Fazenda Botafogo,2,79709
01/05,Engenheiro Rubens Paiva,2,102297
01/05,Pavuna,2,631725
02/05,Saens Peña,1,844566
02/05,Sao Francisco Xavier,1,179066
02/05,Afonso Pena,1,213913
02/05,Estacio,1,20255
02/05,Praca Onze,1,142245
02/05,Central,1,554274
02/05,Presidente Vargas,1,135517
02/05,Uruguaiana,1,600691
02/05,Carioca,1,741688
02/05,Cinelândia,1,472906
02/05,Gloria,1,186016
02/05,Catete,1,186024
02/05,Largo do Machado,1,443322
02/05,Flamengo,1,282897
02/05,Botafogo,1,676875
02/05,Cardeal Arcoverde,1,273121
02/05,Siqueira Campos,1,76935
02/05,Sao Cristovao,2,177775
02/05,Maracana,2,81784
02/05,Triagem,2,73517
02/05,Maria da Graca,2,137044
02/05,Del Castilho,2,175675
02/05,Inhauma,2,95874
02/05,Engenho da Rainha,2,94614
02/05,Tomas Coelho,2,44343
02/05,Vicente de Carvalho,2,221711
02/05,Iraja,2,15752
02/05,Colegio,2,106364
02/05,Coelho Neto,2,167483
02/05,Acari/Fazenda Botafogo,2,72989
02/05,Engenheiro Rubens Paiva,2,94242
02/05,Pavuna,2,585251
03/05,Saens Peña,1,1063346
03/05,Sao Francisco Xavier,1,224729
03/05,Afonso Pena,1,269044
03/05,Estacio,1,254157
03/05,Praca Onze,1,136725
03/05,Central,1,654578
03/05,Presidente Vargas,1,186398
03/05,Uruguaiana,1,767463
03/05,Carioca,1,963934
03/05,Cinelândia,1,59327
03/05,Gloria,1,229935
03/05,Catete,1,240336
03/05,Largo do Machado,1,546084
03/05,Flamengo,1,369077
03/05,Botafogo,1,883244
03/05,Cardeal Arcoverde,1,326894
03/05,Siqueira Campos,1,928466
03/05,Sao Cristovao,2,28112
03/05,Maracana,2,149089
03/05,Triagem,2,100946
03/05,Maria da Graca,2,174829
03/05,Del Castilho,2,250441
03/05,Inhauma,2,120059
03/05,Engenho da Rainha,2,117975
03/05,Tomas Coelho,2,56674
03/05,Vicente de Carvalho,2,28195
03/05,Iraja,2,197463
03/05,Colegio,2,132726
03/05,Coelho Neto,2,213936
03/05,Acari/Fazenda Botafogo,2,90558
03/05,Engenheiro Rubens Paiva,2,1177
03/05,Pavuna,2,71777
04/05,Saens Peña,1,958678
04/05,Sao Francisco Xavier,1,201225
04/05,Afonso Pena,1,240106
04/05,Estacio,1,22939
04/05,Praca Onze,1,126996
04/05,Central,1,577929
04/05,Presidente Vargas,1,166682
04/05,Uruguaiana,1,679307
04/05,Carioca,1,836173
04/05,Cinelândia,1,521983
04/05,Gloria,1,20533
04/05,Catete,1,217809
04/05,Largo do Machado,1,487514
04/05,Flamengo,1,33339
04/05,Botafogo,1,787738
04/05,Cardeal Arcoverde,1,279512
04/05,Siqueira Campos,1,846157
04/05,Sao Cristovao,2,25396
04/05,Maracana,2,135655
04/05,Triagem,2,88137
04/05,Maria da Graca,2,161417
04/05,Del Castilho,2,222641
04/05,Inhauma,2,108076
04/05,Engenho da Rainha,2,107867
04/05,Tomas Coelho,2,51553
04/05,Vicente de Carvalho,2,258078
04/05,Iraja,2,182178
04/05,Colegio,2,120568
04/05,Coelho Neto,2,200857
04/05,Acari/Fazenda Botafogo,2,84009
04/05,Engenheiro Rubens Paiva,2,107395
04/05,Pavuna,2,654097
05/05,Saens Peña,1,992833
05/05,Sao Francisco Xavier,1,208619
05/05,Afonso Pena,1,249952
05/05,Estacio,1,241029
05/05,Praca Onze,1,133122
05/05,Central,1,607619
05/05,Presidente Vargas,1,174594
05/05,Uruguaiana,1,718827
05/05,Carioca,1,874397
05/05,Cinelândia,1,551505
05/05,Gloria,1,213849
05/05,Catete,1,220186
05/05,Largo do Machado,1,507057
05/05,Flamengo,1,341826
05/05,Botafogo,1,827508
05/05,Cardeal Arcoverde,1,27823
05/05,Siqueira Campos,1,853288
05/05,Sao Cristovao,2,254138
05/05,Maracana,2,109025
05/05,Triagem,2,91863
05/05,Maria da Graca,2,161634
05/05,Del Castilho,2,234251
05/05,Inhauma,2,112406
05/05,Engenho da Rainha,2,1108
05/05,Tomas Coelho,2,5398
05/05,Vicente de Carvalho,2,27057
05/05,Iraja,2,188676
05/05,Colegio,2,126795
05/05,Coelho Neto,2,210139
05/05,Acari/Fazenda Botafogo,2,87108
05/05,Engenheiro Rubens Paiva,2,113149
05/05,Pavuna,2,678605
06/05,Saens Peña,1,102807
06/05,Sao Francisco Xavier,1,21391
06/05,Afonso Pena,1,258551
06/05,Estacio,1,249259
06/05,Praca Onze,1,135958
06/05,Central,1,62422
06/05,Presidente Vargas,1,18478
06/05,Uruguaiana,1,746359
06/05,Carioca,1,914677
06/05,Cinelândia,1,572453
06/05,Gloria,1,218919
06/05,Catete,1,226937
06/05,Largo do Machado,1,519867
06/05,Flamengo,1,347498
06/05,Botafogo,1,86266
06/05,Cardeal Arcoverde,1,278607
06/05,Siqueira Campos,1,872232
06/05,Sao Cristovao,2,273134
06/05,Maracana,2,116716
06/05,Triagem,2,96188
06/05,Maria da Graca,2,166775
06/05,Del Castilho,2,234077
06/05,Inhauma,2,115693
06/05,Engenho da Rainha,2,114732
06/05,Tomas Coelho,2,5566
06/05,Vicente de Carvalho,2,281272
06/05,Iraja,2,193046
06/05,Colegio,2,130186
06/05,Coelho Neto,2,215843
06/05,Acari/Fazenda Botafogo,2,88852
06/05,Engenheiro Rubens Paiva,2,117931
06/05,Pavuna,2,698287
07/05,Saens Peña,1,97233
07/05,Sao Francisco Xavier,1,210477
07/05,Afonso Pena,1,231772
07/05,Estacio,1,233228
07/05,Praca Onze,1,118793
07/05,Central,1,588956
07/05,Presidente Vargas,1,162192
07/05,Uruguaiana,1,711321
07/05,Carioca,1,859221
07/05,Cinelândia,1,532793
07/05,Gloria,1,200742
07/05,Catete,1,215702
07/05,Largo do Machado,1,485712
07/05,Flamengo,1,322484
07/05,Botafogo,1,81094
07/05,Cardeal Arcoverde,1,260276
07/05,Siqueira Campos,1,829959
07/05,Sao Cristovao,2,222116
07/05,Maracana,2,88889
07/05,Triagem,2,88872
07/05,Maria da Graca,2,149619
07/05,Del Castilho,2,220469
07/05,Inhauma,2,10516
07/05,Engenho da Rainha,2,104754
07/05,Tomas Coelho,2,49948
07/05,Vicente de Carvalho,2,259936
07/05,Iraja,2,178175
07/05,Colegio,2,121051
07/05,Coelho Neto,2,204397
07/05,Acari/Fazenda Botafogo,2,83657
07/05,Engenheiro Rubens Paiva,2,111627
07/05,Pavuna,2,661379
08/05,Saens Peña,1,1068878
08/05,Sao Francisco Xavier,1,247968
08/05,Afonso Pena,1,268849
08/05,Estacio,1,266095
08/05,Praca Onze,1,140872
08/05,Central,1,663688
08/05,Presidente Vargas,1,191649
08/05,Uruguaiana,1,783862
08/05,Carioca,1,968414
08/05,Cinelândia,1,602403
08/05,Gloria,1,228898
08/05,Catete,1,240318
08/05,Largo do Machado,1,548049
08/05,Flamengo,1,365518
08/05,Botafogo,1,909278
08/05,Cardeal Arcoverde,1,306061
08/05,Siqueira Campos,1,928499
08/05,Sao Cristovao,2,284646
08/05,Maracana,2,123496
08/05,Triagem,2,107104
08/05,Maria da Graca,2,171459
08/05,Del Castilho,2,248439
08/05,Inhauma,2,118693
08/05,Engenho da Rainha,2,118459
08/05,Tomas Coelho,2,57083
08/05,Vicente de Carvalho,2,290313
08/05,Iraja,2,205374
08/05,Colegio,2,134957
08/05,Coelho Neto,2,227843
08/05,Acari/Fazenda Botafogo,2,91391
08/05,Engenheiro Rubens Paiva,2,123094
08/05,Pavuna,2,718157
09/05,Saens Peña,1,998325
09/05,Sao Francisco Xavier,1,23654
09/05,Afonso Pena,1,249442
09/05,Estacio,1,250833
09/05,Praca Onze,1,136026
09/05,Central,1,619812
09/05,Presidente Vargas,1,172272
09/05,Uruguaiana,1,730366
09/05,Carioca,1,900642
09/05,Cinelândia,1,569381
09/05,Gloria,1,213286
09/05,Catete,1,225272
09/05,Largo do Machado,1,508526
09/05,Flamengo,1,34264
09/05,Botafogo,1,862778
09/05,Cardeal Arcoverde,1,275632
09/05,Siqueira Campos,1,855329
09/05,Sao Cristovao,2,26822
09/05,Maracana,2,121067
09/05,Triagem,2,99323
09/05,Maria da Graca,2,162556
09/05,Del Castilho,2,236882
09/05,Inhauma,2,11178
09/05,Engenho da Rainha,2,111456
09/05,Tomas Coelho,2,54009
09/05,Vicente de Carvalho,2,275674
09/05,Iraja,2,191679
09/05,Colegio,2,127757
09/05,Coelho Neto,2,221703
09/05,Acari/Fazenda Botafogo,2,86205
09/05,Engenheiro Rubens Paiva,2,1159
09/05,Pavuna,2,687963
10/05,Saens Peña,1,1004768
10/05,Sao Francisco Xavier,1,240623
10/05,Afonso Pena,1,244923
10/05,Estacio,1,245586
10/05,Praca Onze,1,130445
10/05,Central,1,631335
10/05,Presidente Vargas,1,164471
10/05,Uruguaiana,1,713524
10/05,Carioca,1,860797
10/05,Cinelândia,1,553548
10/05,Gloria,1,210184
10/05,Catete,1,225961
10/05,Largo do Machado,1,511072
10/05,Flamengo,1,34004
10/05,Botafogo,1,841025
10/05,Cardeal Arcoverde,1,305159
10/05,Siqueira Campos,1,86712
10/05,Sao Cristovao,2,264685
10/05,Maracana,2,110173
10/05,Triagem,2,95597
10/05,Maria da Graca,2,164096
10/05,Del Castilho,2,241173
10/05,Inhauma,2,113969
10/05,Engenho da Rainha,2,110701
10/05,Tomas Coelho,2,56894
10/05,Vicente de Carvalho,2,27603
10/05,Iraja,2,193301
10/05,Colegio,2,130087
10/05,Coelho Neto,2,225954
10/05,Acari/Fazenda Botafogo,2,87548
10/05,Engenheiro Rubens Paiva,2,116121
10/05,Pavuna,2,681501
11/05,Saens Peña,1,1000521
11/05,Sao Francisco Xavier,1,238161
11/05,Afonso Pena,1,242814
11/05,Estacio,1,243077
11/05,Praca Onze,1,130025
11/05,Central,1,634693
11/05,Presidente Vargas,1,172071
11/05,Uruguaiana,1,739277
11/05,Carioca,1,864528
11/05,Cinelândia,1,550285
11/05,Gloria,1,207079
11/05,Catete,1,220306
11/05,Largo do Machado,1,5065
11/05,Flamengo,1,332836
11/05,Botafogo,1,833848
11/05,Cardeal Arcoverde,1,298557
11/05,Siqueira Campos,1,867591
11/05,Sao Cristovao,2,247034
11/05,Maracana,2,10381
11/05,Triagem,2,92315
11/05,Maria da Graca,2,159425
11/05,Del Castilho,2,242632
11/05,Inhauma,2,115258
11/05,Engenho da Rainha,2,110655
11/05,Tomas Coelho,2,54165
11/05,Vicente de Carvalho,2,272856
11/05,Iraja,2,190138
11/05,Colegio,2,129362
11/05,Coelho Neto,2,227212
11/05,Acari/Fazenda Botafogo,2,86049
11/05,Engenheiro Rubens Paiva,2,115726
11/05,Pavuna,2,671342
12/05,Saens Peña,1,1072728
12/05,Sao Francisco Xavier,1,248101
12/05,Afonso Pena,1,247298
12/05,Estacio,1,253302
12/05,Praca Onze,1,137936
12/05,Central,1,691594
12/05,Presidente Vargas,1,196507
12/05,Uruguaiana,1,824676
12/05,Carioca,1,905784
12/05,Cinelândia,1,531811
12/05,Gloria,1,216616
12/05,Catete,1,227676
12/05,Largo do Machado,1,525612
12/05,Flamengo,1,338319
12/05,Botafogo,1,859176
12/05,Cardeal Arcoverde,1,302418
12/05,Siqueira Campos,1,929413
12/05,Sao Cristovao,2,233052
12/05,Maracana,2,77177
12/05,Triagem,2,92094
12/05,Maria da Graca,2,16444
12/05,Del Castilho,2,269566
12/05,Inhauma,2,117821
12/05,Engenho da Rainha,2,11586
12/05,Tomas Coelho,2,55182
12/05,Vicente de Carvalho,2,289999
12/05,Iraja,2,195846
12/05,Colegio,2,134516
12/05,Coelho Neto,2,233649
12/05,Acari/Fazenda Botafogo,2,91874
12/05,Engenheiro Rubens Paiva,2,122801
12/05,Pavuna,2,713948
01/06,Saens Peña,1,923633
01/06,Sao Francisco Xavier,1,222386
01/06,Afonso Pena,1,21608
01/06,Estacio,1,229241
01/06,Praca Onze,1,121269
01/06,Central,1,636214
01/06,Presidente Vargas,1,168676
01/06,Uruguaiana,1,687484
01/06,Carioca,1,855654
01/06,Cinelândia,1,525384
01/06,Gloria,1,197384
01/06,Catete,1,212224
01/06,Largo do Machado,1,474048
01/06,Flamengo,1,309694
01/06,Botafogo,1,768342
01/06,Cardeal Arcoverde,1,370568
01/06,Siqueira Campos,1,927885
01/06,Sao Cristovao,2,210459
01/06,Maracana,2,73783
01/06,Triagem,2,87122
01/06,Maria da Graca,2,145505
01/06,Del Castilho,2,215343
01/06,Inhauma,2,106337
01/06,Engenho da Rainha,2,10523
01/06,Tomas Coelho,2,49478
01/06,Vicente de Carvalho,2,256111
01/06,Iraja,2,174797
01/06,Colegio,2,124146
01/06,Coelho Neto,2,183228
01/06,Acari/Fazenda Botafogo,2,85319
01/06,Engenheiro Rubens Paiva,2,117906
01/06,Pavuna,2,680082
02/06,Saens Peña,1,895622
02/06,Sao Francisco Xavier,1,222045
02/06,Afonso Pena,1,217235
02/06,Estacio,1,231997
02/06,Praca Onze,1,153636
02/06,Central,1,63683
02/06,Presidente Vargas,1,154413
02/06,Uruguaiana,1,653046
02/06,Carioca,1,825899
02/06,Cinelândia,1,538923
02/06,Gloria,1,19334
02/06,Catete,1,195722
02/06,Largo do Machado,1,459248
02/06,Flamengo,1,299535
02/06,Botafogo,1,750907
02/06,Cardeal Arcoverde,1,328871
02/06,Siqueira Campos,1,856826
02/06,Sao Cristovao,2,203946
02/06,Maracana,2,73586
02/06,Triagem,2,82981
02/06,Maria da Graca,2,139471
02/06,Del Castilho,2,202199
02/06,Inhauma,2,100397
02/06,Engenho da Rainha,2,99538
02/06,Tomas Coelho,2,46303
02/06,Vicente de Carvalho,2,24299
02/06,Iraja,2,168661
02/06,Colegio,2,115691
02/06,Coelho Neto,2,156577
02/06,Acari/Fazenda Botafogo,2,81186
02/06,Engenheiro Rubens Paiva,2,107944
02/06,Pavuna,2,619202
03/06,Saens Peña,1,1054659
03/06,Sao Francisco Xavier,1,262591
03/06,Afonso Pena,1,260402
03/06,Estacio,1,267768
03/06,Praca Onze,1,15462
03/06,Central,1,714071
03/06,Presidente Vargas,1,176773
03/06,Uruguaiana,1,760662
03/06,Carioca,1,966025
03/06,Cinelândia,1,610644
03/06,Gloria,1,221658
03/06,Catete,1,242551
03/06,Largo do Machado,1,533694
03/06,Flamengo,1,360951
03/06,Botafogo,1,891896
03/06,Cardeal Arcoverde,1,311004
03/06,Siqueira Campos,1,937685
03/06,Sao Cristovao,2,28472
03/06,Maracana,2,128269
03/06,Triagem,2,103812
03/06,Maria da Graca,2,16901
03/06,Del Castilho,2,261217
03/06,Inhauma,2,118231
03/06,Engenho da Rainha,2,118868
03/06,Tomas Coelho,2,56536
03/06,Vicente de Carvalho,2,288522
03/06,Iraja,2,200759
03/06,Colegio,2,135185
03/06,Coelho Neto,2,179751
03/06,Acari/Fazenda Botafogo,2,94076
03/06,Engenheiro Rubens Paiva,2,130013
03/06,Pavuna,2,718114
04/06,Saens Peña,1,921292
04/06,Sao Francisco Xavier,1,226826
04/06,Afonso Pena,1,227725
04/06,Estacio,1,228182
04/06,Praca Onze,1,126088
04/06,Central,1,622137
04/06,Presidente Vargas,1,161869
04/06,Uruguaiana,1,659677
04/06,Carioca,1,817593
04/06,Cinelândia,1,532662
04/06,Gloria,1,19614
04/06,Catete,1,214562
04/06,Largo do Machado,1,465601
04/06,Flamengo,1,317667
04/06,Botafogo,1,783794
04/06,Cardeal Arcoverde,1,265654
04/06,Siqueira Campos,1,822866
04/06,Sao Cristovao,2,260451
04/06,Maracana,2,103127
04/06,Triagem,2,92754
04/06,Maria da Graca,2,151946
04/06,Del Castilho,2,232318
04/06,Inhauma,2,10552
04/06,Engenho da Rainha,2,105989
04/06,Tomas Coelho,2,50697
04/06,Vicente de Carvalho,2,25877
04/06,Iraja,2,179821
04/06,Colegio,2,121104
04/06,Coelho Neto,2,164732
04/06,Acari/Fazenda Botafogo,2,84349
04/06,Engenheiro Rubens Paiva,2,117273
04/06,Pavuna,2,640139
05/06,Saens Peña,1,106036
05/06,Sao Francisco Xavier,1,25875
05/06,Afonso Pena,1,266012
05/06,Estacio,1,26583
05/06,Praca Onze,1,144292
05/06,Central,1,736661
05/06,Presidente Vargas,1,19357
05/06,Uruguaiana,1,790228
05/06,Carioca,1,990574
05/06,Cinelândia,1,637582
05/06,Gloria,1,224384
05/06,Catete,1,240222
05/06,Largo do Machado,1,540613
05/06,Flamengo,1,361266
05/06,Botafogo,1,917347
05/06,Cardeal Arcoverde,1,302794
05/06,Siqueira Campos,1,941309
05/06,Sao Cristovao,2,300989
05/06,Maracana,2,115785
05/06,Triagem,2,107442
05/06,Maria da Graca,2,174616
05/06,Del Castilho,2,261185
05/06,Inhauma,2,122086
05/06,Engenho da Rainha,2,12106
05/06,Tomas Coelho,2,58043
05/06,Vicente de Carvalho,2,294927
05/06,Iraja,2,207061
05/06,Colegio,2,138396
05/06,Coelho Neto,2,180535
05/06,Acari/Fazenda Botafogo,2,9472
05/06,Engenheiro Rubens Paiva,2,133697
05/06,Pavuna,2,720213
06/06,Saens Peña,1,974231
06/06,Sao Francisco Xavier,1,240395
06/06,Afonso Pena,1,243369
06/06,Estacio,1,240155
06/06,Praca Onze,1,128137
06/06,Central,1,684808
06/06,Presidente Vargas,1,168148
06/06,Uruguaiana,1,728225
06/06,Carioca,1,88976
06/06,Cinelândia,1,562601
06/06,Gloria,1,204838
06/06,Catete,1,216573
06/06,Largo do Machado,1,490568
06/06,Flamengo,1,328142
06/06,Botafogo,1,833042
06/06,Cardeal Arcoverde,1,264715
06/06,Siqueira Campos,1,86478
06/06,Sao Cristovao,2,262586
06/06,Maracana,2,71488
06/06,Triagem,2,96471
06/06,Maria da Graca,2,158413
06/06,Del Castilho,2,233363
06/06,Inhauma,2,11144
06/06,Engenho da Rainha,2,111294
06/06,Tomas Coelho,2,53246
06/06,Vicente de Carvalho,2,266973
06/06,Iraja,2,187044
06/06,Colegio,2,125747
06/06,Coelho Neto,2,163279
06/06,Acari/Fazenda Botafogo,2,85154
06/06,Engenheiro Rubens Paiva,2,122595
06/06,Pavuna,2,67614
07/06,Saens Peña,1,1005834
07/06,Sao Francisco Xavier,1,238772
07/06,Afonso Pena,1,24107
07/06,Estacio,1,245247
07/06,Praca Onze,1,125262
07/06,Central,1,707451
07/06,Presidente Vargas,1,171769
07/06,Uruguaiana,1,742403
07/06,Carioca,1,918319
07/06,Cinelândia,1,584531
07/06,Gloria,1,209951
07/06,Catete,1,22598
07/06,Largo do Machado,1,495795
07/06,Flamengo,1,337489
07/06,Botafogo,1,846328
07/06,Cardeal Arcoverde,1,284138
07/06,Siqueira Campos,1,924947
07/06,Sao Cristovao,2,249572
07/06,Maracana,2,113412
07/06,Triagem,2,101058
07/06,Maria da Graca,2,159634
07/06,Del Castilho,2,240988
07/06,Inhauma,2,113639
07/06,Engenho da Rainha,2,112515
07/06,Tomas Coelho,2,5312
07/06,Vicente de Carvalho,2,27672
07/06,Iraja,2,191692
07/06,Colegio,2,128601
07/06,Coelho Neto,2,167754
07/06,Acari/Fazenda Botafogo,2,89092
07/06,Engenheiro Rubens Paiva,2,126848
07/06,Pavuna,2,687665
08/06,Saens Peña,1,1100061
08/06,Sao Francisco Xavier,1,264452
08/06,Afonso Pena,1,27677
08/06,Estacio,1,279248
08/06,Praca Onze,1,14699
08/06,Central,1,81292
08/06,Presidente Vargas,1,192924
08/06,Uruguaiana,1,818481
08/06,Carioca,1,1044431
08/06,Cinelândia,1,661123
08/06,Gloria,1,2310
08/06,Catete,1,246858
08/06,Largo do Machado,1,556003
08/06,Flamengo,1,379607
08/06,Botafogo,1,965483
08/06,Cardeal Arcoverde,1,307951
08/06,Siqueira Campos,1,994143
08/06,Sao Cristovao,2,305186
08/06,Maracana,2,141189
08/06,Triagem,2,117486
08/06,Maria da Graca,2,184594
08/06,Del Castilho,2,276506
08/06,Inhauma,2,130165
08/06,Engenho da Rainha,2,127219
08/06,Tomas Coelho,2,58921
08/06,Vicente de Carvalho,2,309569
08/06,Iraja,2,218359
08/06,Colegio,2,144477
08/06,Coelho Neto,2,185705
08/06,Acari/Fazenda Botafogo,2,101239
08/06,Engenheiro Rubens Paiva,2,138781
08/06,Pavuna,2,757757
09/06,Saens Peña,1,1002585
09/06,Sao Francisco Xavier,1,242259
09/06,Afonso Pena,1,250508
09/06,Estacio,1,253167
09/06,Praca Onze,1,134037
09/06,Central,1,759238
09/06,Presidente Vargas,1,174158
09/06,Uruguaiana,1,745473
09/06,Carioca,1,917201
09/06,Cinelândia,1,585308
09/06,Gloria,1,198674
09/06,Catete,1,225608
09/06,Largo do Machado,1,505242
09/06,Flamengo,1,342541
09/06,Botafogo,1,868167
09/06,Cardeal Arcoverde,1,286382
09/06,Siqueira Campos,1,917612
09/06,Sao Cristovao,2,288996
09/06,Maracana,2,121937
09/06,Triagem,2,106519
09/06,Maria da Graca,2,171269
09/06,Del Castilho,2,26206
09/06,Inhauma,2,118864
09/06,Engenho da Rainha,2,116319
09/06,Tomas Coelho,2,55592
09/06,Vicente de Carvalho,2,287535
09/06,Iraja,2,203308
09/06,Colegio,2,134485
09/06,Coelho Neto,2,176613
09/06,Acari/Fazenda Botafogo,2,92281
09/06,Engenheiro Rubens Paiva,2,129733
09/06,Pavuna,2,703995
10/06,Saens Peña,1,1049987
10/06,Sao Francisco Xavier,1,251939
10/06,Afonso Pena,1,26154
10/06,Estacio,1,269773
10/06,Praca Onze,1,142502
10/06,Central,1,779523
10/06,Presidente Vargas,1,179625
10/06,Uruguaiana,1,78571
10/06,Carioca,1,965007
